Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Asteraceae	Ambrosia artemisiifolia L.	Ambrosia artemisiifolia L.	T		FNA vol. 21; /
Asteraceae	Ambrosia chamissonis (Less.) Greene	Ambrosia chamissonis (Less.) Greene	T		
Asteraceae	Ambrosia chamissonis (Less.) Greene var. bipinnatisecta (Less.) Howell	Ambrosia chamissonis (Less.) Greene	T		FNA vol. 21; /
Asteraceae	Ambrosia trifida L.	Ambrosia trifida L.	T		FNA vol. 21; /
Rosaceae	Amelanchier alnifolia (Nutt.) Nutt. ex Roem.	Amelanchier alnifolia (Nutt.) Nutt. ex Roem.	T	AK taxon list	
Rosaceae	Amelanchier alnifolia (Nutt.) Nutt. ex Roem. subsp. florida (Lindl.) Hult始	Amelanchier alnifolia (Nutt.) Nutt. ex Roem.	T		
Orchidaceae	Amerorchis rotundifolia (Banks ex Pursh) Hult始	Amerorchis rotundifolia (Banks ex Pursh) Hult始	T	AK taxon list	
Boraginaceae	Amsinckia lycopsoides (Lehm.) Lehm.	Amsinckia lycopsoides (Lehm.) Lehm.	T	AK taxon list	
Boraginaceae	Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.	Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.	T	AK taxon list	
Asteraceae	Anaphalis margaritacea (L.) Benth. & Hook.f.	Anaphalis margaritacea (L.) Benth. & Hook.f.	T	AK taxon list	
Asteraceae	Anaphalis margaritacea (L.) Benth. & Hook.f. var. angustior (Miq.) Nakai	Anaphalis margaritacea (L.) Benth. & Hook.f.	T		FNA 19; /
Asteraceae	Anaphalis margaritacea (L.) Benth. & Hook.f. var. subalpina A.Gray	Anaphalis margaritacea (L.) Benth. & Hook.f.	T		FNA 19; /
Liliaceae	Anticlea elegans (Pursh) Rydb.	Anticlea elegans (Pursh) Rydb.	T		Zomlefer and Judd 2002; Zomlefer, W. B. and W. S. Judd. 2002. Resurrection of segregates of the polyphyletic genus Zigadenus s.l. (Liliales: Melanthiaceae) and resulting new combinations. Novon 12: 299-308./
Ericaceae	Andromeda polifolia L.	Andromeda polifolia L.	F	AK taxon list	
Ericaceae	Andromeda polifolia L. subsp. pumila V.M.Vinogr.	Andromeda polifolia L. subsp. pumila V.M.Vinogr.	F	Arctic Flora USSR	
Ranunculaceae	Anemone deltoidea Hook.	Anemone deltoidea Hook.	F	AK taxon list	
Ranunculaceae	Anemone drummondii S.Watson	Anemone drummondii S.Watson	F	AK taxon list	
Ranunculaceae	Anemone drummondii S.Watson var. lithophila (Rydb.) C.L.Hitchc	Anemone drummondii S.Watson var. lithophila (Rydb.) C.L.Hitchc	T		
Ranunculaceae	Anemone multiceps (Greene) Standl.	Anemone multiceps (Greene) Standl.	T	AK taxon list	
Ranunculaceae	Anemone multifida Poir.	Anemone multifida Poir.	T	AK taxon list	
Ranunculaceae	Anemone multifida Poir. var. saxicola B.Boivin	Anemone multifida Poir.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone narcissiflora L.	Anemone narcissiflora L.	F	AK taxon list	
Ranunculaceae	Anemone narcissiflora L. var. monantha DC.	Anemone sibirica L.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone narcissiflora L. subsp. alaskana Hult始	Anemone sibirica L.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone narcissiflora L. subsp. interior Hult始	Anemone sibirica L.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone narcissiflora L. subsp. sibirica (L.) Hult始	Anemone sibirica L.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone narcissiflora L. subsp. villosissima (DC.) Hult始	Anemone villosissima (DC.) Juz.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone parviflora Michx.	Anemone parviflora Michx.	T	AK taxon list	
Ranunculaceae	Anemone patens L.	Pulsatilla patens (L.) Mill.	F		
Ranunculaceae	Anemone patens L. var. multifida Pritz.	Pulsatilla patens (L.) Mill. subsp. multifida (Pritz.) Z確elis	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone richardsonii Hook.	Anemone richardsonii Hook.	T	AK taxon list	
Ranunculaceae	Anemone sibirica L.	Anemone sibirica L.	T		Elven, R.  et al. 2003; /
Ranunculaceae	Anemone tamarae Kharkev.	Anemone tamarae Kharkev.	F		
